GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ADI001,ADI002,ADJ001,ADJ002
"G0500290","1850","Arkansas","050","Conway","0290","Conway","42","290",11885,33216,150252,16207
"G0500330","1850","Arkansas","050","Crawford","0330","Crawford","42","330",18273,34363,392115,33091
"G0500350","1850","Arkansas","050","Crittenden","0350","Crittenden","42","350",8475,78775,481217,24833
"G0500390","1850","Arkansas","050","Dallas","0390","Dallas","42","390",24065,64625,519871,54098
"G0500410","1850","Arkansas","050","Desha","0410","Desha","42","410",9207,33659,391697,23356
"G0500430","1850","Arkansas","050","Drew","0430","Drew","42","430",11854,23770,133637,36780
"G0500470","1850","Arkansas","050","Franklin","0470","Franklin","42","470",15502,26526,205770,27106
"G0500490","1850","Arkansas","050","Fulton","0490","Fulton","42","490",6055,5578,73991,8004
"G0500550","1850","Arkansas","050","Greene","0550","Greene","42","550",9118,4039,78537,5565
"G0500570","1850","Arkansas","050","Hempstead","0570","Hempstead","42","570",32618,56904,591487,82009
"G0500590","1850","Arkansas","050","Hot Spring","0590","Hot Spring","42","590",9408,19679,189610,22844
"G0500630","1850","Arkansas","050","Independence","0630","Independence","42","630",23602,60062,521665,36233
"G0500650","1850","Arkansas","050","Izard","0650","Izard","42","650",9467,9115,138777,19444
"G0500670","1850","Arkansas","050","Jackson","0670","Jackson","42","670",10319,23328,239832,24980
"G0500690","1850","Arkansas","050","Jefferson","0690","Jefferson","42","690",22245,62167,791332,90927
"G0500710","1850","Arkansas","050","Johnson","0710","Johnson","42","710",17742,36017,309572,37254
"G0500730","1850","Arkansas","050","Lafayette","0730","Lafayette","42","730",27476,56802,454608,57826
"G0500750","1850","Arkansas","050","Lawrence","0750","Lawrence","42","750",20188,34623,267579,28648
"G0500870","1850","Arkansas","050","Madison","0870","Madison","42","870",19319,27029,259539,26179
"G0500890","1850","Arkansas","050","Marion","0890","Marion","42","890",7776,17477,137795,13715
"G0500930","1850","Arkansas","050","Mississippi","0930","Mississippi","42","930",8711,50544,327415,17141
"G0500950","1850","Arkansas","050","Monroe","0950","Monroe","42","950",6501,28725,86950,17002
"G0500970","1850","Arkansas","050","Montgomery","0970","Montgomery","42","970",6659,3239,98230,14356
"G0501010","1850","Arkansas","050","Newton","1010","Newton","42","1010",5555,7814,63732,7113
"G0501030","1850","Arkansas","050","Ouachita","1030","Ouachita","42","1030",43908,71150,267961,82845
"G0501050","1850","Arkansas","050","Perry","1050","Perry","42","1050",2095,2851,25175,2976
"G0501070","1850","Arkansas","050","Phillips","1070","Phillips","42","1070",26427,92236,1016068,70707
"G0501090","1850","Arkansas","050","Pike","1090","Pike","42","1090",5531,8337,80195,11608
"G0501110","1850","Arkansas","050","Poinsett","1110","Poinsett","42","1110",8046,51354,100612,15630
"G0501130","1850","Arkansas","050","Polk","1130","Polk","42","1130",4237,1652,50115,7737
"G0501150","1850","Arkansas","050","Pope","1150","Pope","42","1150",15502,22260,241375,49963
"G0501170","1850","Arkansas","050","Prairie","1170","Prairie","42","1170",6615,52194,180332,16663
"G0501190","1850","Arkansas","050","Pulaski","1190","Pulaski","42","1190",12939,49299,426115,31248
"G0501210","1850","Arkansas","050","Randolph","1210","Randolph","42","1210",14377,23240,173365,16002
"G0501230","1850","Arkansas","050","St Francis","1230","St Francis","42","1230",14442,50219,273067,28588
"G0501250","1850","Arkansas","050","Saline","1250","Saline","42","1250",17871,28710,216247,36829
"G0501270","1850","Arkansas","050","Scott","1270","Scott","42","1270",10104,7685,99175,15873
"G0501290","1850","Arkansas","050","Searcy","1290","Searcy","42","1290",7440,1812,85201,11075
"G0501330","1850","Arkansas","050","Sevier","1330","Sevier","42","1330",18221,37567,208175,55369
"G0501390","1850","Arkansas","050","Union","1390","Union","42","1390",56841,97435,687300,71572
"G0501410","1850","Arkansas","050","Van Buren","1410","Van Buren","42","1410",11092,9403,125912,19732
"G0501430","1850","Arkansas","050","Washington","1430","Washington","42","1430",38847,108130,740473,67400
"G0501450","1850","Arkansas","050","White","1450","White","42","1450",8515,25584,156005,16016
"G0501490","1850","Arkansas","050","Yell","1490","Yell","42","1490",11693,17896,211722,20481
"G0600070","1850","California","060","Butte","0070","Butte","71","70",0,0,0,0
"G0600090","1850","California","060","Calaveras","0090","Calaveras","71","90",0,14820,76860,14693
"G0600115","1850","California","060","Colusa-Shasta-Trinity [multi-county reporting area]","0115","Colusa-Shasta-Trinity (multi-county reporting area)","71","115",128,34420,60000,100
"G0600130","1850","California","060","Contra Costa","0130","Contra Costa","71","130",0,0,0,0
"G0600170","1850","California","060","El Dorado","0170","El Dorado","71","170",0,0,0,0
"G0600370","1850","California","060","Los Angeles","0370","Los Angeles","71","370",2648,1034550,649900,35550
"G0600410","1850","California","060","Marin","0410","Marin","71","410",8,93389,125500,150
"G0600430","1850","California","060","Mariposa","0430","Mariposa","71","430",0,0,0,0
"G0600450","1850","California","060","Mendocino","0450","Mendocino","71","450",0,13320,5000,1250
"G0600530","1850","California","060","Monterey","0530","Monterey","71","530",13713,690610,900399,0
"G0600550","1850","California","060","Napa","0550","Napa","71","550",1140,23570,180700,3740
"G0600670","1850","California","060","Sacramento","0670","Sacramento","71","670",2044,78992,226800,2250
"G0600730","1850","California","060","San Diego","0730","San Diego","71","730",0,0,0,0
"G0600750","1850","California","060","San Francisco","0750","San Francisco","71","750",0,0,0,0
"G0600770","1850","California","060","San Joaquin","0770","San Joaquin","71","770",0,0,0,0
"G0600790","1850","California","060","San Luis Obispo","0790","San Luis Obispo","71","790",0,0,0,0
"G0600830","1850","California","060","Santa Barbara","0830","Santa Barbara","71","830",9284,1265568,745032,10005
"G0600850","1850","California","060","Santa Clara","0850","Santa Clara","71","850",0,0,0,0
"G0600870","1850","California","060","Santa Cruz","0870","Santa Cruz","71","870",2045,287500,402800,15000
"G0600890","1850","California","060","Shasta","0890","Shasta","71","890",,,,
"G0600950","1850","California","060","Solano","0950","Solano","71","950",68,74563,130440,1825
"G0600970","1850","California","060","Sonoma","0970","Sonoma","71","970",897,243766,223360,2400
"G0601010","1850","California","060","Sutter","1010","Sutter","71","1010",200,1000,100000,10000
"G0601090","1850","California","060","Tuolumne","1090","Tuolumne","71","1090",0,0,0,0
"G0601130","1850","California","060","Yolo","1130","Yolo","71","1130",279,5463,47250,6520
"G0601150","1850","California","060","Yuba","1150","Yuba","71","1150",0,0,0,0
"G0900010","1850","Connecticut","090","Fairfield","0010","Fairfield","1","10",206525,58367,13046150,206142
"G0900030","1850","Connecticut","090","Hartford","0030","Hartford","1","30",280317,84845,13610278,394406
"G0900050","1850","Connecticut","090","Litchfield","0050","Litchfield","1","50",346697,119288,12441790,386689
"G0900070","1850","Connecticut","090","Middlesex","0070","Middlesex","1","70",130494,32667,4594843,130115
"G0900090","1850","Connecticut","090","New Haven","0090","New Haven","1","90",206325,75378,10116890,296772
"G0900110","1850","Connecticut","090","New London","0110","New London","1","110",221997,103168,8350759,156226
"G0900130","1850","Connecticut","090","Tolland","0130","Tolland","1","130",163677,55478,3749351,145799
"G0900150","1850","Connecticut","090","Windham","0150","Windham","1","150",212146,86510,6816362,176392
"G1000010","1850","Delaware","100","Kent","0010","Kent","11","10",174784,107945,3976908,123037
"G1000030","1850","Delaware","100","New Castle","0030","New Castle","11","30",168076,50872,11459452,289364
"G1000050","1850","Delaware","100","Sussex","0050","Sussex","11","50",238002,216465,3443672,97878
"G1100017","1850","District Of Columbia","110","Georgetown","0017","Georgetown","98","5",117,8,44800,1915
"G1100075","1850","District Of Columbia","110","Rural Washington county","0075","Rural Washington county","98","7",15438,10774,1594260,35450
"G1100115","1850","District Of Columbia","110","Washington City","0115","Washington City","98","3",712,405,91400,2855
"G1200010","1850","Florida","120","Alachua","0010","Alachua","43","10",9270,46234,162173,27239
"G1200065","1850","Florida","120","Benton","0065","Benton","43","530",2657,10996,79132,6707
"G1200130","1850","Florida","120","Calhoun","0130","Calhoun","43","130",2282,10373,155110,7291
"G1200230","1850","Florida","120","Columbia","0230","Columbia","43","230",18467,28012,243097,31488
"G1200250","1850","Florida","120","Dade","0250","Dade","43","250",51,36,2100,200
"G1200310","1850","Florida","120","Duval","0310","Duval","43","310",12056,73568,295415,21093
"G1200330","1850","Florida","120","Escambia","0330","Escambia","43","330",1172,6431,33350,2135
"G1200370","1850","Florida","120","Franklin","0370","Franklin","43","370",0,472000,0,0
"G1200390","1850","Florida","120","Gadsden","0390","Gadsden","43","390",50574,107454,924180,80766
"G1200470","1850","Florida","120","Hamilton","0470","Hamilton","43","470",10733,16251,122300,13952
"G1200570","1850","Florida","120","Hillsborough","0570","Hillsborough","43","570",3984,19215,201000,46657
"G1200590","1850","Florida","120","Holmes","0590","Holmes","43","590",3833,821,18535,4344
"G1200630","1850","Florida","120","Jackson","0630","Jackson","43","630",33287,55515,418417,24016
"G1200650","1850","Florida","120","Jefferson","0650","Jefferson","43","650",49403,104956,511193,85872
"G1200730","1850","Florida","120","Leon","0730","Leon","43","730",80952,97625,1751959,88578
"G1200750","1850","Florida","120","Levy","0750","Levy","43","750",1069,4802,30000,4015
"G1200790","1850","Florida","120","Madison","0790","Madison","43","790",25580,42955,498110,50485
"G1200830","1850","Florida","120","Marion","0830","Marion","43","830",11451,44168,346695,31885
"G1200870","1850","Florida","120","Monroe","0870","Monroe","43","870",39,155,4400,53
"G1200890","1850","Florida","120","Nassau","0890","Nassau","43","890",8370,28776,88930,19776
"G1200950","1850","Florida","120","Orange","0950","Orange","43","950",963,4083,60000,14095
"G1201070","1850","Florida","120","Putnam","1070","Putnam","43","1070",693,2755,29900,5345
"G1201090","1850","Florida","120","St Johns","1090","St Johns","43","1090",2486,12050,112060,62235
"G1201115","1850","Florida","120","St Lucie (old)","1115","St Lucie (old)","43","90",0,0,0,0
"G1201130","1850","Florida","120","Santa Rosa","1130","Santa Rosa","43","1130",1815,37971,53170,10244
"G1201290","1850","Florida","120","Wakulla","1290","Wakulla","43","1290",7018,5932,62370,8430
"G1201310","1850","Florida","120","Walton","1310","Walton","43","1310",4466,5485,42955,4627
"G1201330","1850","Florida","120","Washington","1330","Washington","43","1330",6378,7621,76558,7267
"G1300010","1850","Georgia","130","Appling","0010","Appling","44","10",9957,343701,141860,10676
"G1300070","1850","Georgia","130","Baker","0070","Baker","44","70",56954,215043,1545007,62207
"G1300090","1850","Georgia","130","Baldwin","0090","Baldwin","44","90",71449,157999,664586,30971
"G1300210","1850","Georgia","130","Bibb","0210","Bibb","44","210",44919,90321,913835,44637
"G1300290","1850","Georgia","130","Bryan","0290","Bryan","44","290",21577,148823,307426,19088
"G1300310","1850","Georgia","130","Bulloch","0310","Bulloch","44","310",26760,473233,348258,16707
"G1300330","1850","Georgia","130","Burke","0330","Burke","44","330",190910,334028,2284581,132416
"G1300350","1850","Georgia","130","Butts","0350","Butts","44","350",50369,63505,671343,38797
"G1300390","1850","Georgia","130","Camden","0390","Camden","44","390",25222,181675,904004,28054
"G1300395","1850","Georgia","130","Campbell","0395","Campbell","44","410",40118,104300,854604,52763
"G1300450","1850","Georgia","130","Carroll","0450","Carroll","44","450",38522,178649,677435,46383
"G1300455","1850","Georgia","130","Cass","0455","Cass","44","150",52575,15591,1513034,56412
"G1300510","1850","Georgia","130","Chatham","0510","Chatham","44","510",31888,110403,2008250,209241
"G1300550","1850","Georgia","130","Chattooga","0550","Chattooga","44","550",29325,78186,787401,38917
"G1300570","1850","Georgia","130","Cherokee","0570","Cherokee","44","570",50535,128501,930029,39202
"G1300590","1850","Georgia","130","Clarke","0590","Clarke","44","590",91148,107105,1062876,61589
"G1300650","1850","Georgia","130","Clinch","0650","Clinch","44","650",3118,42893,57360,3308
"G1300670","1850","Georgia","130","Cobb","0670","Cobb","44","670",52697,155557,743237,56933
"G1300730","1850","Georgia","130","Columbia","0730","Columbia","44","730",147684,152693,1487845,118387
"G1300770","1850","Georgia","130","Coweta","0770","Coweta","44","770",88088,160500,1848923,102425
"G1300790","1850","Georgia","130","Crawford","0790","Crawford","44","790",72857,134073,1106103,75891
"G1300830","1850","Georgia","130","Dade","0830","Dade","44","830",11245,36614,235070,11593
"G1300870","1850","Georgia","130","Decatur","0870","Decatur","44","870",45478,199971,738803,42321
"G1300890","1850","Georgia","130","DeKalb","0890","De Kalb","44","890",67992,153739,1119181,65369
"G1300930","1850","Georgia","130","Dooly","0930","Dooly","44","930",59859,308583,443483,54833
"G1300990","1850","Georgia","130","Early","0990","Early","44","990",44742,135632,720943,38149
"G1301030","1850","Georgia","130","Effingham","1030","Effingham","44","1030",21784,210972,310515,16656
"G1301050","1850","Georgia","130","Elbert","1050","Elbert","44","1050",84069,229375,1563526,93236
"G1301070","1850","Georgia","130","Emanuel","1070","Emanuel","44","1070",35092,502609,579979,20325
"G1301130","1850","Georgia","130","Fayette","1130","Fayette","44","1130",56104,156094,974977,62539
"G1301150","1850","Georgia","130","Floyd","1150","Floyd","44","1150",32358,96195,1084362,41600
"G1301170","1850","Georgia","130","Forsyth","1170","Forsyth","44","1170",43140,107379,714638,44134
"G1301190","1850","Georgia","130","Franklin","1190","Franklin","44","1190",69416,330811,1068663,83742
"G1301230","1850","Georgia","130","Gilmer","1230","Gilmer","44","1230",23900,121876,488392,19974
"G1301270","1850","Georgia","130","Glynn","1270","Glynn","44","1270",20472,85777,762055,31347
"G1301290","1850","Georgia","130","Gordon","1290","Gordon","44","1290",25915,83512,575879,35726
"G1301330","1850","Georgia","130","Greene","1330","Greene","44","1330",104658,148985,1767288,78154
"G1301350","1850","Georgia","130","Gwinnett","1350","Gwinnett","44","1350",85881,197210,956768,73802
"G1301370","1850","Georgia","130","Habersham","1370","Habersham","44","1370",44798,275541,457511,39198
"G1301390","1850","Georgia","130","Hall","1390","Hall","44","1390",38824,201558,576864,53546
"G1301410","1850","Georgia","130","Hancock","1410","Hancock","44","1410",125691,162644,1323711,81927
"G1301450","1850","Georgia","130","Harris","1450","Harris","44","1450",135292,150911,1632822,99751
"G1301490","1850","Georgia","130","Heard","1490","Heard","44","1490",42691,96409,723990,48650
"G1301510","1850","Georgia","130","Henry","1510","Henry","44","1510",104199,215952,1742760,92655
"G1301530","1850","Georgia","130","Houston","1530","Houston","44","1530",145386,184000,2747247,95432
"G1301550","1850","Georgia","130","Irwin","1550","Irwin","44","1550",14325,320433,96482,10765
"G1301570","1850","Georgia","130","Jackson","1570","Jackson","44","1570",70741,128608,733164,51837
"G1301590","1850","Georgia","130","Jasper","1590","Jasper","44","1590",139948,89875,1441394,92290
"G1301630","1850","Georgia","130","Jefferson","1630","Jefferson","44","1630",79715,217600,1353618,97005
"G1301690","1850","Georgia","130","Jones","1690","Jones","44","1690",138972,99617,1247920,62399
"G1301750","1850","Georgia","130","Laurens","1750","Laurens","44","1750",62249,282158,408957,30972
"G1301770","1850","Georgia","130","Lee","1770","Lee","44","1770",56074,112242,1049809,54072
"G1301790","1850","Georgia","130","Liberty","1790","Liberty","44","1790",38563,303518,776650,32868
"G1301810","1850","Georgia","130","Lincoln","1810","Lincoln","44","1810",48320,101668,635777,40300
"G1301850","1850","Georgia","130","Lowndes","1850","Lowndes","44","1850",40897,429462,848408,44415
"G1301870","1850","Georgia","130","Lumpkin","1870","Lumpkin","44","1870",31962,94899,620852,29262
"G1301910","1850","Georgia","130","McIntosh","1910","Mcintosh","44","1910",19482,83090,718897,73757
"G1301930","1850","Georgia","130","Macon","1930","Macon","44","1930",51588,134548,1070571,56773
"G1301950","1850","Georgia","130","Madison","1950","Madison","44","1950",45708,100901,578420,35383
"G1301970","1850","Georgia","130","Marion","1970","Marion","44","1970",61938,119311,1144400,70644
"G1301990","1850","Georgia","130","Meriwether","1990","Meriwether","44","1990",122838,180223,2070826,108316
"G1302070","1850","Georgia","130","Monroe","2070","Monroe","44","2070",157797,158338,2357484,219449
"G1302090","1850","Georgia","130","Montgomery","2090","Montgomery","44","2090",10022,177244,117922,8905
"G1302110","1850","Georgia","130","Morgan","2110","Morgan","44","2110",138163,78969,1378938,57118
"G1302130","1850","Georgia","130","Murray","2130","Murray","44","2130",51102,163470,1622680,58225
"G1302150","1850","Georgia","130","Muscogee","2150","Muscogee","44","2150",78015,131361,1600757,113565
"G1302170","1850","Georgia","130","Newton","2170","Newton","44","2170",91993,125993,1215031,73236
"G1302210","1850","Georgia","130","Oglethorpe","2210","Oglethorpe","44","2210",219712,78553,1861085,104926
"G1302230","1850","Georgia","130","Paulding","2230","Paulding","44","2230",28295,62685,728465,35990
"G1302310","1850","Georgia","130","Pike","2310","Pike","44","2310",82563,154268,1676355,69933
"G1302350","1850","Georgia","130","Pulaski","2350","Pulaski","44","2350",98964,138657,729979,30193
"G1302370","1850","Georgia","130","Putnam","2370","Putnam","44","2370",134829,72669,1115575,66665
"G1302410","1850","Georgia","130","Rabun","2410","Rabun","44","2410",12741,120634,156885,10449
"G1302430","1850","Georgia","130","Randolph","2430","Randolph","44","2430",93211,239605,1319699,97482
"G1302450","1850","Georgia","130","Richmond","2450","Richmond","44","2450",37644,111592,1165463,50934
"G1302510","1850","Georgia","130","Screven","2510","Screven","44","2510",56008,454748,609375,43142
"G1302590","1850","Georgia","130","Stewart","2590","Stewart","44","2590",145821,233130,2238361,115636
"G1302610","1850","Georgia","130","Sumter","2610","Sumter","44","2610",68165,157748,1252168,72409
"G1302630","1850","Georgia","130","Talbot","2630","Talbot","44","2630",136933,159251,2100407,116444
"G1302650","1850","Georgia","130","Taliaferro","2650","Taliaferro","44","2650",39184,89823,616829,34683
"G1302670","1850","Georgia","130","Tattnall","2670","Tattnall","44","2670",14244,379369,229888,13396
"G1302710","1850","Georgia","130","Telfair","2710","Telfair","44","2710",15360,183235,168793,11633
"G1302750","1850","Georgia","130","Thomas","2750","Thomas","44","2750",63931,383453,1104240,108041
"G1302850","1850","Georgia","130","Troup","2850","Troup","44","2850",128190,130900,1980186,132572
"G1302890","1850","Georgia","130","Twiggs","2890","Twiggs","44","2890",101619,142171,575990,241509
"G1302910","1850","Georgia","130","Union","2910","Union","44","2910",31316,147967,476518,25288
"G1302930","1850","Georgia","130","Upson","2930","Upson","44","2930",73512,89792,991904,65891
"G1302950","1850","Georgia","130","Walker","2950","Walker","44","2950",36191,72917,852905,30410
"G1302970","1850","Georgia","130","Walton","2970","Walton","44","2970",101490,126883,1015731,69493
"G1302990","1850","Georgia","130","Ware","2990","Ware","44","2990",11316,265315,169770,12191
"G1303010","1850","Georgia","130","Warren","3010","Warren","44","3010",135115,236236,1680835,92392
"G1303030","1850","Georgia","130","Washington","3030","Washington","44","3030",117433,308418,1331638,93340
"G1303050","1850","Georgia","130","Wayne","3050","Wayne","44","3050",5356,69727,91079,5038
"G1303170","1850","Georgia","130","Wilkes","3170","Wilkes","44","3170",97545,190547,1344855,83481
"G1303190","1850","Georgia","130","Wilkinson","3190","Wilkinson","44","3190",75721,239951,912086,69370
"G1700010","1850","Illinois","170","Adams","0010","Adams","21","10",147273,168872,3156090,207860
"G1700030","1850","Illinois","170","Alexander","0030","Alexander","21","30",5333,16882,95459,6024
"G1700050","1850","Illinois","170","Bond","0050","Bond","21","50",48038,85214,560248,50291
"G1700070","1850","Illinois","170","Boone","0070","Boone","21","70",50763,76711,1059580,69663
"G1700090","1850","Illinois","170","Brown","0090","Brown","21","90",34846,73458,862622,58912
"G1700110","1850","Illinois","170","Bureau","0110","Bureau","21","110",62470,74325,1269936,75506
"G1700130","1850","Illinois","170","Calhoun","0130","Calhoun","21","130",7295,29076,174675,19710
"G1700150","1850","Illinois","170","Carroll","0150","Carroll","21","150",32776,54760,599717,53016
"G1700170","1850","Illinois","170","Cass","0170","Cass","21","170",54578,46732,1220254,61164
"G1700190","1850","Illinois","170","Champaign","0190","Champaign","21","190",22873,35300,454620,23230
"G1700210","1850","Illinois","170","Christian","0210","Christian","21","210",27654,43412,497590,32622
"G1700230","1850","Illinois","170","Clark","0230","Clark","21","230",35899,67120,575999,39385
"G1700250","1850","Illinois","170","Clay","0250","Clay","21","250",18354,29996,242020,15742
"G1700270","1850","Illinois","170","Clinton","0270","Clinton","21","270",40410,66532,508116,46270
"G1700290","1850","Illinois","170","Coles","0290","Coles","21","290",77544,123669,1240751,81575
"G1700310","1850","Illinois","170","Cook","0310","Cook","21","310",154090,109844,2573325,121198
"G1700330","1850","Illinois","170","Crawford","0330","Crawford","21","330",34697,65041,529920,40012
"G1700350","1850","Illinois","170","Cumberland","0350","Cumberland","21","350",16001,49602,282612,21822
"G1700370","1850","Illinois","170","DeKalb","0370","De Kalb","21","370",63749,81293,924090,69128
"G1700390","1850","Illinois","170","De Witt","0390","De Witt","21","390",36945,48402,788270,43017
"G1700430","1850","Illinois","170","Dupage","0430","Du Page","21","430",86200,59231,1714065,86013
"G1700450","1850","Illinois","170","Edgar","0450","Edgar","21","450",91532,106503,1642417,140008
"G1700470","1850","Illinois","170","Edwards","0470","Edwards","21","470",20216,37212,258503,25357
"G1700490","1850","Illinois","170","Effingham","0490","Effingham","21","490",14457,43259,231288,26614
"G1700510","1850","Illinois","170","Fayette","0510","Fayette","21","510",38258,100529,640085,52954
"G1700550","1850","Illinois","170","Franklin","0550","Franklin","21","550",29003,50304,272075,26984
"G1700570","1850","Illinois","170","Fulton","0570","Fulton","21","570",124817,148203,2817680,190033
"G1700590","1850","Illinois","170","Gallatin","0590","Gallatin","21","590",19956,52026,325166,22622
"G1700610","1850","Illinois","170","Greene","0610","Greene","21","610",87257,113574,1782105,90387
"G1700630","1850","Illinois","170","Grundy","0630","Grundy","21","630",15916,35738,355446,25508
"G1700650","1850","Illinois","170","Hamilton","0650","Hamilton","21","650",19102,37475,357805,21580
"G1700670","1850","Illinois","170","Hancock","0670","Hancock","21","670",80163,93769,1378208,102676
"G1700690","1850","Illinois","170","Hardin","0690","Hardin","21","690",10531,34283,199030,10268
"G1700710","1850","Illinois","170","Henderson","0710","Henderson","21","710",35796,48879,757475,47103
"G1700730","1850","Illinois","170","Henry","0730","Henry","21","730",22983,24276,306250,25248
"G1700750","1850","Illinois","170","Iroquois","0750","Iroquois","21","750",30118,36812,517169,38471
"G1700770","1850","Illinois","170","Jackson","0770","Jackson","21","770",22778,40657,288544,26517
"G1700790","1850","Illinois","170","Jasper","0790","Jasper","21","790",10948,38774,184605,24081
