GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ACD001,ACN001,ACZ001,ACZ002,ACZ003,ACZ004,ACZ005,ACZ006,ACZ007,ACZ008,ACZ009,ACZ010,ACZ011,ACZ012,ACZ013,ACZ014,ACZ015,ACZ016,ACZ017,ACZ018,ACZ019,ACZ020,ACZ021,ACZ022,ACZ023,ACZ024
"G1800410","1840","Indiana","180","Fayette","0410","Fayette","22","410",9837,0,6,19,2,2,3,0,1,11,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800430","1840","Indiana","180","Floyd","0430","Floyd","22","430",9454,4226,53,63,29,44,15,0,66,61,25,39,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800450","1840","Indiana","180","Fountain","0450","Fountain","22","450",11218,0,4,7,4,1,1,0,4,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800470","1840","Indiana","180","Franklin","0470","Franklin","22","470",13349,0,18,13,4,5,3,0,12,9,9,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800490","1840","Indiana","180","Fulton","0490","Fulton","22","490",1993,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800510","1840","Indiana","180","Gibson","0510","Gibson","22","510",8977,0,18,25,10,11,6,0,17,30,6,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800530","1840","Indiana","180","Grant","0530","Grant","22","530",4875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800550","1840","Indiana","180","Greene","0550","Greene","22","550",8321,0,16,12,10,6,3,0,11,8,10,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800570","1840","Indiana","180","Hamilton","0570","Hamilton","22","570",9855,0,9,15,3,3,2,0,12,14,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800590","1840","Indiana","180","Hancock","0590","Hancock","22","590",7535,0,4,5,1,3,2,0,6,8,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800610","1840","Indiana","180","Harrison","0610","Harrison","22","610",12459,0,14,18,6,4,6,0,14,12,7,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800630","1840","Indiana","180","Hendricks","0630","Hendricks","22","630",11264,0,1,1,2,1,1,0,2,3,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"G1800650","1840","Indiana","180","Henry","0650","Henry","22","650",15128,0,20,31,16,10,2,3,21,17,10,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800690","1840","Indiana","180","Huntington","0690","Huntington","22","690",1579,0,3,4,0,0,0,0,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800710","1840","Indiana","180","Jackson","0710","Jackson","22","710",8961,0,36,26,15,14,5,0,32,32,10,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800730","1840","Indiana","180","Jasper","0730","Jasper","22","730",1267,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800750","1840","Indiana","180","Jay","0750","Jay","22","750",3863,0,3,1,0,1,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800770","1840","Indiana","180","Jefferson","0770","Jefferson","22","770",16614,3798,60,60,21,37,18,0,64,95,25,31,18,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800790","1840","Indiana","180","Jennings","0790","Jennings","22","790",8829,0,30,23,12,11,7,0,17,26,19,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800810","1840","Indiana","180","Johnson","0810","Johnson","22","810",9352,0,4,5,2,1,1,0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800830","1840","Indiana","180","Knox","0830","Knox","22","830",10657,0,98,91,48,35,26,0,95,74,42,32,20,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800850","1840","Indiana","180","Kosciusko","0850","Kosciusko","22","850",4170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800870","1840","Indiana","180","Lagrange","0870","Lagrange","22","870",3664,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800890","1840","Indiana","180","Lake","0890","Lake","22","890",1468,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800910","1840","Indiana","180","LaPorte","0910","Laporte","22","910",8184,0,0,3,9,2,3,0,3,5,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800930","1840","Indiana","180","Lawrence","0930","Lawrence","22","930",11782,0,22,14,5,11,1,0,18,18,11,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800950","1840","Indiana","180","Madison","0950","Madison","22","950",8874,0,0,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1800970","1840","Indiana","180","Marion","0970","Marion","22","970",16080,2692,40,33,38,19,8,2,26,33,25,18,12,1,0,0,0,0,0,0,0,0,0,0,0,0
"G1800990","1840","Indiana","180","Marshall","0990","Marshall","22","990",1651,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801010","1840","Indiana","180","Martin","1010","Martin","22","1010",3875,0,8,5,2,2,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801030","1840","Indiana","180","Miami","1030","Miami","22","1030",3048,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801050","1840","Indiana","180","Monroe","1050","Monroe","22","1050",10143,0,2,0,2,1,0,0,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801070","1840","Indiana","180","Montgomery","1070","Montgomery","22","1070",14438,0,19,23,8,5,1,0,12,11,8,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801090","1840","Indiana","180","Morgan","1090","Morgan","22","1090",10741,0,22,13,7,5,4,0,13,12,9,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801130","1840","Indiana","180","Noble","1130","Noble","22","1130",2702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801170","1840","Indiana","180","Orange","1170","Orange","22","1170",9602,0,33,24,13,8,6,0,26,25,10,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801190","1840","Indiana","180","Owen","1190","Owen","22","1190",8359,0,34,8,16,7,7,0,32,19,14,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801210","1840","Indiana","180","Parke","1210","Parke","22","1210",13499,0,10,4,6,5,1,0,19,7,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801230","1840","Indiana","180","Perry","1230","Perry","22","1230",4655,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801250","1840","Indiana","180","Pike","1250","Pike","22","1250",4769,0,1,6,1,1,1,0,1,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801270","1840","Indiana","180","Porter","1270","Porter","22","1270",2162,0,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801290","1840","Indiana","180","Posey","1290","Posey","22","1290",9683,0,8,8,2,0,4,0,4,6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801310","1840","Indiana","180","Pulaski","1310","Pulaski","22","1310",561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801330","1840","Indiana","180","Putnam","1330","Putnam","22","1330",16843,0,1,2,3,3,0,0,4,5,5,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0
"G1801350","1840","Indiana","180","Randolph","1350","Randolph","22","1350",10684,0,116,72,31,41,16,0,84,76,37,27,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801370","1840","Indiana","180","Ripley","1370","Ripley","22","1370",10392,0,4,13,4,4,3,0,4,3,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801390","1840","Indiana","180","Rush","1390","Rush","22","1390",16456,0,92,73,41,29,7,0,89,73,42,23,12,0,0,0,0,1,0,0,0,1,0,0,0,0
"G1801410","1840","Indiana","180","St Joseph","1410","St Joseph","22","1410",6425,0,1,0,3,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801430","1840","Indiana","180","Scott","1430","Scott","22","1430",4242,0,2,4,0,1,0,0,4,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801450","1840","Indiana","180","Shelby","1450","Shelby","22","1450",12005,0,2,7,4,0,0,0,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801470","1840","Indiana","180","Spencer","1470","Spencer","22","1470",6305,0,2,8,4,2,2,0,0,2,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801490","1840","Indiana","180","Starke","1490","Starke","22","1490",149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801510","1840","Indiana","180","Steuben","1510","Steuben","22","1510",2578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801530","1840","Indiana","180","Sullivan","1530","Sullivan","22","1530",8315,0,10,4,0,2,1,0,1,2,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801550","1840","Indiana","180","Switzerland","1550","Switzerland","22","1550",9920,0,6,4,2,3,1,0,9,8,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801570","1840","Indiana","180","Tippecanoe","1570","Tippecanoe","22","1570",13724,0,7,8,12,4,1,0,7,7,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801610","1840","Indiana","180","Union","1610","Union","22","1610",8017,0,9,13,4,3,3,0,6,10,4,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801630","1840","Indiana","180","Vanderburgh","1630","Vanderburgh","22","1630",6250,0,26,16,10,6,0,0,19,19,13,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801650","1840","Indiana","180","Vermillion","1650","Vermillion","22","1650",8274,0,3,7,2,1,0,0,3,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801670","1840","Indiana","180","Vigo","1670","Vigo","22","1670",12076,0,102,51,33,29,11,0,76,58,39,19,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801690","1840","Indiana","180","Wabash","1690","Wabash","22","1690",2756,0,0,1,2,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801710","1840","Indiana","180","Warren","1710","Warren","22","1710",5656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801730","1840","Indiana","180","Warrick","1730","Warrick","22","1730",6321,0,0,1,0,1,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801750","1840","Indiana","180","Washington","1750","Washington","22","1750",15269,0,38,23,19,10,2,0,36,27,26,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801770","1840","Indiana","180","Wayne","1770","Wayne","22","1770",23290,0,100,100,77,34,15,2,83,111,58,31,15,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801790","1840","Indiana","180","Wells","1790","Wells","22","1790",1822,0,0,2,0,1,0,0,6,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801810","1840","Indiana","180","White","1810","White","22","1810",1832,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1801830","1840","Indiana","180","Whitley","1830","Whitley","22","1830",1237,0,1,3,3,1,0,0,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1950015","1840","Iowa Territory","195","Cedar","0015","Cedar","31","310",1253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1950035","1840","Iowa Territory","195","Clayton","0035","Clayton","31","430",1101,0,0,2,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1950055","1840","Iowa Territory","195","Clinton","0055","Clinton","31","450",821,0,1,1,0,0,1,0,1,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1950075","1840","Iowa Territory","195","Delaware","0075","Delaware","31","550",168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1950095","1840","Iowa Territory","195","Des Moines","0095","Des Moines","31","570",5577,0,0,1,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1950115","1840","Iowa Territory","195","Dubuque","0115","Dubuque","31","610",3059,0,9,8,9,2,2,0,5,9,5,6,1,0,1,3,1,1,0,0,1,5,3,1,0,0
"G1950135","1840","Iowa Territory","195","Henry","0135","Henry","31","870",3772,0,2,3,3,3,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1950155","1840","Iowa Territory","195","Jackson","0155","Jackson","31","970",1411,0,2,1,0,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1950175","1840","Iowa Territory","195","Jefferson","0175","Jefferson","31","1010",2773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1950195","1840","Iowa Territory","195","Johnson","0195","Johnson","31","1030",1491,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1950215","1840","Iowa Territory","195","Jones","0215","Jones","31","1050",471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1950235","1840","Iowa Territory","195","Lee","0235","Lee","31","1110",6093,0,1,2,1,0,0,0,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1950255","1840","Iowa Territory","195","Linn","0255","Linn","31","1130",1373,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1950275","1840","Iowa Territory","195","Louisa","0275","Louisa","31","1150",1927,0,2,3,0,3,0,0,2,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1950295","1840","Iowa Territory","195","Muscatine","0295","Muscatine","31","1390",1942,0,2,6,5,1,1,0,4,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1950315","1840","Iowa Territory","195","Scott","0315","Scott","31","1630",2140,0,0,2,1,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1950335","1840","Iowa Territory","195","Van Buren","0335","Van Buren","31","1770",6146,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G1950355","1840","Iowa Territory","195","Washington","0355","Washington","31","1830",1594,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G2100010","1840","Kentucky","210","Adair","0010","Adair","51","10",8466,0,14,7,9,13,5,0,13,9,6,9,7,0,291,253,122,79,30,0,264,308,134,84,39,1
"G2100030","1840","Kentucky","210","Allen","0030","Allen","51","30",7329,0,4,2,0,2,1,0,6,2,1,0,1,0,173,167,53,38,19,6,167,146,78,68,20,0
"G2100050","1840","Kentucky","210","Anderson","0050","Anderson","51","50",5452,0,2,0,2,2,2,2,1,3,1,2,4,0,194,192,69,44,9,0,183,214,81,51,22,0
"G2100090","1840","Kentucky","210","Barren","0090","Barren","51","90",17288,0,11,7,3,4,10,0,7,12,5,8,8,1,777,699,293,170,71,1,737,662,314,246,93,2
"G2100110","1840","Kentucky","210","Bath","0110","Bath","51","110",9763,0,14,5,11,13,8,0,13,12,7,12,9,0,341,304,181,102,27,0,333,349,144,111,59,0
"G2100150","1840","Kentucky","210","Boone","0150","Boone","51","150",10034,0,1,4,1,1,9,0,3,0,1,2,5,0,444,377,149,92,27,1,397,386,175,106,29,0
"G2100170","1840","Kentucky","210","Bourbon","0170","Bourbon","51","170",14478,0,35,24,28,37,24,0,46,33,29,30,21,1,1163,1084,517,328,86,3,1204,999,529,311,100,1
"G2100230","1840","Kentucky","210","Bracken","0230","Bracken","51","230",7053,0,25,18,11,15,9,0,28,19,9,7,10,0,150,152,64,30,14,0,148,149,59,36,17,0
"G2100250","1840","Kentucky","210","Breathitt","0250","Breathitt","51","250",2195,0,0,0,0,0,0,0,0,0,0,0,0,0,24,14,8,5,0,0,26,27,11,3,1,0
"G2100270","1840","Kentucky","210","Breckinridge","0270","Breckinridge","51","270",8944,0,0,0,3,4,2,0,0,1,1,1,2,0,323,294,119,64,19,0,309,284,161,83,35,0
"G2100290","1840","Kentucky","210","Bullitt","0290","Bullitt","51","290",6334,0,2,1,0,1,3,0,5,1,3,1,1,0,210,237,165,45,23,0,248,212,110,52,18,0
"G2100310","1840","Kentucky","210","Butler","0310","Butler","51","310",3898,0,1,0,0,1,0,0,1,0,1,0,0,0,95,91,40,17,8,0,96,94,46,21,6,1
"G2100330","1840","Kentucky","210","Caldwell","0330","Caldwell","51","330",10365,0,21,9,7,7,10,0,14,10,5,11,9,0,417,388,170,113,24,0,370,374,186,108,21,0
"G2100350","1840","Kentucky","210","Calloway","0350","Calloway","51","350",9794,0,3,2,0,0,1,0,1,4,0,2,0,0,166,150,60,38,13,1,168,172,83,50,10,0
"G2100370","1840","Kentucky","210","Campbell","0370","Campbell","51","370",5214,0,0,1,1,0,1,0,0,0,1,0,0,0,44,53,16,18,6,0,45,53,29,20,5,0
"G2100410","1840","Kentucky","210","Carroll","0410","Carroll","51","410",3966,0,4,1,0,3,5,0,2,2,0,0,6,0,141,126,61,25,15,1,137,119,55,34,17,0
"G2100430","1840","Kentucky","210","Carter","0430","Carter","51","430",2905,0,2,0,3,0,0,0,2,0,1,0,0,0,41,24,15,12,1,0,41,23,17,10,2,0
"G2100450","1840","Kentucky","210","Casey","0450","Casey","51","450",4939,0,8,6,0,0,1,0,9,6,3,2,2,0,95,92,43,22,8,0,79,100,45,36,11,0
"G2100470","1840","Kentucky","210","Christian","0470","Christian","51","470",15587,0,14,10,7,14,11,1,10,7,6,11,7,1,1108,1019,505,287,81,2,1119,946,521,305,103,1
"G2100490","1840","Kentucky","210","Clark","0490","Clark","51","490",10802,0,19,21,8,13,13,0,19,18,7,11,16,0,693,636,304,205,48,0,740,653,312,236,73,2
"G2100510","1840","Kentucky","210","Clay","0510","Clay","51","510",4607,0,32,21,11,9,2,0,33,20,11,10,1,0,75,88,78,58,3,0,67,62,44,27,1,0
"G2100530","1840","Kentucky","210","Clinton","0530","Clinton","51","530",3863,0,0,0,0,1,0,0,0,0,0,0,0,0,31,31,13,11,1,0,34,30,20,12,5,0
"G2100570","1840","Kentucky","210","Cumberland","0570","Cumberland","51","570",6090,0,4,5,2,3,2,0,4,4,2,2,6,0,268,251,128,89,16,2,285,234,126,56,30,0
"G2100590","1840","Kentucky","210","Daviess","0590","Daviess","51","590",8331,0,7,3,3,4,4,0,8,4,2,6,3,0,329,356,158,107,26,0,358,324,159,118,25,0
"G2100610","1840","Kentucky","210","Edmonson","0610","Edmonson","51","610",2914,0,0,0,0,0,1,0,0,0,0,0,0,0,69,58,36,9,7,0,62,45,29,17,2,0
"G2100650","1840","Kentucky","210","Estill","0650","Estill","51","650",5535,0,5,0,0,0,0,0,7,1,2,2,0,0,86,107,78,26,5,0,91,94,41,24,6,0
"G2100670","1840","Kentucky","210","Fayette","0670","Fayette","51","670",22194,6997,78,52,40,66,62,0,68,50,41,70,72,0,1754,1913,1214,645,166,1,1793,1573,844,632,173,2
"G2100690","1840","Kentucky","210","Fleming","0690","Fleming","51","690",13268,0,18,9,4,16,11,0,20,10,7,14,9,0,409,352,100,79,20,1,375,353,169,112,22,0
"G2100710","1840","Kentucky","210","Floyd","0710","Floyd","51","710",6302,0,5,2,1,3,0,0,1,1,1,1,0,0,32,34,16,3,1,0,38,35,14,10,1,0
"G2100730","1840","Kentucky","210","Franklin","0730","Franklin","51","730",9420,0,21,24,19,23,26,0,26,30,13,21,30,1,453,441,273,164,48,0,467,483,292,186,42,0
"G2100770","1840","Kentucky","210","Gallatin","0770","Gallatin","51","770",4003,0,6,5,3,5,4,0,6,2,2,1,4,0,118,97,49,24,9,0,104,111,50,25,17,0
"G2100790","1840","Kentucky","210","Garrard","0790","Garrard","51","790",10480,0,11,7,6,6,11,0,11,9,7,11,7,1,640,574,237,156,53,0,591,542,259,160,70,1
"G2100810","1840","Kentucky","210","Grant","0810","Grant","51","810",4192,0,0,1,0,0,2,0,0,0,0,2,1,0,64,70,29,9,4,0,55,70,24,19,4,0
"G2100830","1840","Kentucky","210","Graves","0830","Graves","51","830",7465,0,0,0,0,0,1,0,0,2,0,0,1,0,133,141,58,27,5,0,157,179,73,29,15,0
"G2100850","1840","Kentucky","210","Grayson","0850","Grayson","51","850",4461,0,0,0,0,0,0,0,0,0,0,0,0,0,33,47,16,5,1,0,32,33,16,14,2,0
"G2100870","1840","Kentucky","210","Green","0870","Green","51","870",14212,0,26,22,7,8,8,0,11,9,9,7,12,0,687,625,301,186,63,0,767,611,312,203,74,1
"G2100890","1840","Kentucky","210","Greenup","0890","Greenup","51","890",6297,0,11,6,3,9,9,0,13,2,2,5,4,0,146,117,53,36,14,0,159,127,57,38,7,0
"G2100910","1840","Kentucky","210","Hancock","0910","Hancock","51","910",2581,0,0,0,1,1,1,0,0,0,0,0,0,0,109,93,32,22,12,0,101,88,49,24,9,0
"G2100930","1840","Kentucky","210","Hardin","0930","Hardin","51","930",16357,0,7,4,3,5,3,0,5,9,3,5,2,0,466,448,194,102,30,4,430,447,214,116,31,0
"G2100950","1840","Kentucky","210","Harlan","0950","Harlan","51","950",3015,0,2,1,0,1,1,0,0,1,0,1,1,0,12,9,3,3,2,0,15,19,11,5,0,0
"G2100970","1840","Kentucky","210","Harrison","0970","Harrison","51","970",12472,0,10,13,4,15,10,2,6,3,9,4,17,0,637,628,279,173,55,1,581,544,285,162,38,1
"G2100990","1840","Kentucky","210","Hart","0990","Hart","51","990",7031,0,5,8,2,5,3,0,7,5,2,4,2,1,178,193,73,53,8,0,192,166,81,45,20,0
"G2101010","1840","Kentucky","210","Henderson","1010","Henderson","51","1010",9548,0,4,8,8,6,6,0,1,4,3,3,5,0,591,576,288,157,78,1,576,528,283,176,65,0
"G2101030","1840","Kentucky","210","Henry","1030","Henry","51","1030",10015,0,4,3,1,1,4,0,2,4,4,1,5,0,413,445,182,104,35,0,398,431,181,116,44,0
"G2101050","1840","Kentucky","210","Hickman","1050","Hickman","51","1050",8968,0,0,1,2,0,2,0,0,1,0,1,1,0,301,292,118,56,20,0,284,314,137,80,13,0
"G2101070","1840","Kentucky","210","Hopkins","1070","Hopkins","51","1070",9171,0,3,4,4,3,0,1,2,6,3,3,1,1,340,287,113,60,25,0,334,296,140,96,32,0
"G2101110","1840","Kentucky","210","Jefferson","1110","Jefferson","51","1110",36346,21210,97,84,74,87,39,1,94,80,86,89,32,0,1232,1442,766,569,155,0,1328,1605,813,545,141,0
"G2101130","1840","Kentucky","210","Jessamine","1130","Jessamine","51","1130",9396,0,15,11,11,17,20,0,16,18,6,16,14,0,649,636,286,191,53,1,647,529,257,173,50,0
"G2101170","1840","Kentucky","210","Kenton","1170","Kenton","51","1170",7816,0,2,2,6,0,7,0,0,5,2,8,2,0,117,145,44,33,15,0,128,132,78,40,19,0
"G2101210","1840","Kentucky","210","Knox","1210","Knox","51","1210",5722,0,43,24,10,4,2,0,33,17,15,11,5,0,86,91,36,32,5,1,103,97,50,27,8,0
"G2101250","1840","Kentucky","210","Laurel","1250","Laurel","51","1250",3079,0,0,2,1,1,0,0,0,0,0,1,1,0,18,11,10,6,1,0,25,15,14,7,2,0
"G2101270","1840","Kentucky","210","Lawrence","1270","Lawrence","51","1270",4730,0,0,0,0,0,1,0,0,0,0,0,0,0,19,15,0,2,1,0,14,17,7,0,2,0
"G2101350","1840","Kentucky","210","Lewis","1350","Lewis","51","1350",6306,0,4,4,2,3,1,0,3,7,1,2,0,0,52,71,32,21,14,0,68,73,41,25,8,1
"G2101370","1840","Kentucky","210","Lincoln","1370","Lincoln","51","1370",10187,0,24,14,17,14,9,0,26,15,14,12,10,0,590,609,273,179,73,1,613,597,230,218,66,1
"G2101390","1840","Kentucky","210","Livingston","1390","Livingston","51","1390",9025,0,20,9,5,15,4,0,16,10,8,11,1,0,246,320,168,70,17,0,237,273,158,76,21,2
"G2101410","1840","Kentucky","210","Logan","1410","Logan","51","1410",13615,0,54,33,22,25,18,0,48,49,25,15,21,0,896,760,382,222,82,0,926,813,412,238,95,0
"G2101450","1840","Kentucky","210","McCracken","1450","Mccracken","51","1450",4745,0,2,5,1,5,3,0,4,3,1,3,0,0,109,110,39,37,9,0,100,133,65,41,11,0
"G2101510","1840","Kentucky","210","Madison","1510","Madison","51","1510",16355,0,8,9,6,14,11,0,5,6,3,7,13,0,999,931,453,244,67,1,996,912,452,277,80,1
"G2101550","1840","Kentucky","210","Marion","1550","Marion","51","1550",11032,0,12,6,5,2,8,0,10,16,5,8,8,0,488,475,191,108,29,1,472,456,211,138,43,0
"G2101610","1840","Kentucky","210","Mason","1610","Mason","51","1610",15719,2741,32,20,17,41,23,0,35,33,19,27,25,0,744,753,341,220,61,0,749,770,355,247,69,0
"G2101630","1840","Kentucky","210","Meade","1630","Meade","51","1630",5780,0,0,0,2,1,2,0,0,0,0,0,0,0,241,242,104,66,31,0,284,231,109,78,23,0
"G2101670","1840","Kentucky","210","Mercer","1670","Mercer","51","1670",18720,0,62,49,19,34,21,0,55,47,30,32,23,1,1007,964,413,288,81,0,891,854,402,283,103,0
"G2101710","1840","Kentucky","210","Monroe","1710","Monroe","51","1710",6526,0,5,1,0,0,0,0,2,1,2,0,1,0,131,135,53,20,6,1,128,124,57,29,19,0
"G2101730","1840","Kentucky","210","Montgomery","1730","Montgomery","51","1730",9332,0,30,24,12,18,18,0,27,12,14,18,15,0,501,456,211,117,37,0,497,473,226,164,53,0
"G2101750","1840","Kentucky","210","Morgan","1750","Morgan","51","1750",4603,0,1,0,1,0,0,0,1,0,0,0,0,0,8,12,3,3,0,0,10,13,8,3,1,0
"G2101770","1840","Kentucky","210","Muhlenberg","1770","Muhlenberg","51","1770",6964,0,1,2,0,2,1,0,1,4,0,2,0,0,212,209,83,60,15,0,215,217,97,72,16,0
"G2101790","1840","Kentucky","210","Nelson","1790","Nelson","51","1790",13637,0,13,13,8,10,9,0,12,12,14,11,13,1,803,832,352,260,63,0,869,798,322,289,55,0
"G2101810","1840","Kentucky","210","Nicholas","1810","Nicholas","51","1810",8745,0,31,19,12,13,10,0,26,33,12,15,11,0,236,212,92,49,18,0,215,239,90,75,27,0
"G2101830","1840","Kentucky","210","Ohio","1830","Ohio","51","1830",6592,0,2,0,1,6,5,0,0,2,0,1,5,0,153,132,62,27,7,0,155,162,67,45,13,0
"G2101850","1840","Kentucky","210","Oldham","1850","Oldham","51","1850",7380,0,20,22,10,23,9,1,17,12,6,16,7,2,431,391,211,104,30,0,435,442,186,112,34,1
"G2101870","1840","Kentucky","210","Owen","1870","Owen","51","1870",8232,0,7,3,3,1,9,0,5,2,2,2,2,0,224,238,78,48,11,0,236,262,97,61,26,0
"G2101910","1840","Kentucky","210","Pendleton","1910","Pendleton","51","1910",4455,0,0,2,0,0,2,0,0,0,0,0,1,0,70,65,30,17,9,0,88,86,37,25,10,0
